area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,disclosure_code,area_title,own_title,industry_title,agglvl_title,size_title,qtrly_estabs_count,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_disclosure_code,lq_qtrly_estabs_count,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_disclosure_code,oty_qtrly_estabs_count_chg,oty_qtrly_estabs_count_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct,oty_month2_emplvl_chg,oty_month2_emplvl_pct,oty_month3_emplvl_chg,oty_month3_emplvl_pct,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct
1000,0,10,50,0,2015,1,,Alabama -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,117333,1852589,1863201,1872879,20434225459,8731881237,177037321,844,,1,1,1,1,1,1,1,1,,1061,0.9,24784,1.4,29882,1.6,23537,1.3,722186539,3.7,160118141,1.9,-14808093,-7.7,18,2.2
2000,0,10,50,0,2015,1,,Alaska -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,21999,315614,319768,322085,4352037893,2786495892,57925410,1049,,1,1,1,1,1,1,1,1,,218,1,3673,1.2,3350,1.1,3024,0.9,149668714,3.6,73235885,2.7,-10848965,-15.8,25,2.4
4000,0,10,50,0,2015,1,,Arizona -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,149864,2578042,2599978,2605485,31212763538,11841031516,274112237,925,,1,1,1,1,1,1,1,1,,5012,3.5,61371,2.4,66343,2.6,63531,2.5,1039802941,3.4,328193832,2.9,6523093,2.4,8,0.9
5000,0,10,50,0,2015,1,,Arkansas -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,87425,1155752,1164995,1166518,11920397787,6378966662,172601714,789,,1,1,1,1,1,1,1,1,,967,1.1,21222,1.9,22084,1.9,14377,1.2,264632553,2.3,90284266,1.4,-25035571,-12.7,5,0.6
6000,0,10,50,0,2015,1,,California -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,1400009,15849428,15947403,16038327,250018397632,73590491088,3651286074,1206,,1,1,1,1,1,1,1,1,,34469,2.5,456184,3,462713,3,470823,3,15839940144,6.8,2845468330,4,38130473,1.1,42,3.6
8000,0,10,50,0,2015,1,,Colorado -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,183788,2435456,2447025,2457254,34056156039,15849663227,368812584,1071,,1,1,1,1,1,1,1,1,,6465,3.6,90863,3.9,92605,3.9,86279,3.6,2020893231,6.3,825005466,5.5,-33521355,-8.3,25,2.4
9000,0,10,50,0,2015,1,,Connecticut -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,114463,1635843,1630995,1640076,29381014326,11372143061,432258468,1382,,1,1,1,1,1,1,1,1,,1434,1.3,16471,1,15052,0.9,13103,0.8,692903146,2.4,73468278,0.7,-5190081,-1.2,20,1.5
10000,0,10,50,0,2015,1,,Delaware -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,30656,420265,420053,423469,6049807324,3069463321,57067122,1105,,1,1,1,1,1,1,1,1,,1274,4.3,10769,2.6,11505,2.8,11021,2.7,129316531,2.2,151781033,5.2,-5316975,-8.5,-5,-0.5
12000,0,10,50,0,2015,1,,Florida -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,650374,7902624,7971043,8022079,91624754779,36208566881,770179379,885,,1,1,1,1,1,1,1,1,,22049,3.5,282235,3.7,285338,3.7,280496,3.6,4867306130,5.6,-1071761803,-2.9,-323994106,-29.6,16,1.8
13000,0,10,50,0,2015,1,,Georgia -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,284390,4050496,4076330,4097365,52370246822,22198126906,465843268,989,,1,1,1,1,1,1,1,1,,6896,2.5,127607,3.3,146907,3.7,128080,3.2,2582866661,5.2,1100389233,5.2,-31706209,-6.4,17,1.7
15000,0,10,50,0,2015,1,,Hawaii -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,39066,628074,632492,635564,7238551110,4546300959,63253753,881,,1,1,1,1,1,1,1,1,,1160,3.1,8923,1.4,9765,1.6,9850,1.6,304640432,4.4,190949437,4.4,-13416731,-17.5,24,2.8
16000,0,10,50,0,2015,1,,Idaho -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,55374,635429,640025,649321,6137595033,4255826201,52137123,736,,1,1,1,1,1,1,1,1,,2126,4,16750,2.7,16349,2.6,18602,2.9,293500255,5,225168738,5.6,-7711490,-12.9,16,2.2
17000,0,10,50,0,2015,1,,Illinois -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,419634,5674555,5693023,5728591,83852403586,36847873305,1258706312,1132,,1,1,1,1,1,1,1,1,,10117,2.5,78719,1.4,82450,1.5,72196,1.3,3258325850,4,980033606,2.7,-174292937,-12.2,29,2.6
18000,0,10,50,0,2015,1,,Indiana -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,158810,2862939,2869541,2893981,32024939422,15197160694,387983809,857,,1,1,1,1,1,1,1,1,,-291,-0.2,65880,2.4,56718,2,51017,1.8,1081054303,3.5,482843529,3.3,-35806608,-8.4,12,1.4
19000,0,10,50,0,2015,1,,Iowa -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,99763,1493677,1496320,1504820,16499994346,11047245321,125336489,847,,1,1,1,1,1,1,1,1,,1267,1.3,21339,1.4,19918,1.3,19781,1.3,672655133,4.2,415398165,3.9,-27599738,-18,23,2.8
20000,0,10,50,0,2015,1,,Kansas -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,85764,1344103,1351892,1357028,14938084970,9180676739,263471729,851,,1,1,1,1,1,1,1,1,,1269,1.5,17791,1.3,19090,1.4,13418,1,388479374,2.7,1645538415,21.8,35084623,15.4,12,1.4
21000,0,10,50,0,2015,1,,Kentucky -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,121958,1803854,1799960,1810251,19277891783,9385989782,303045671,822,,1,1,1,1,1,1,1,1,,1403,1.2,37569,2.1,35068,2,26914,1.5,597741923,3.2,443714027,5,2808902,0.9,11,1.4
22000,0,10,50,0,2015,1,,Louisiana -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,125291,1920125,1925229,1927408,22103728643,9083839038,143007221,884,,1,1,1,1,1,1,1,1,,2036,1.7,34991,1.9,30296,1.6,18673,1,708873634,3.3,206396187,2.3,-1505531,-1,16,1.8
23000,0,10,50,0,2015,1,,Maine -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,49948,570909,568000,570720,5880550529,2947438703,71175789,794,,1,1,1,1,1,1,1,1,,1242,2.5,5901,1,3859,0.7,4490,0.8,106471208,1.8,42070192,1.4,1532814,2.2,8,1
24000,0,10,50,0,2015,1,,Maryland -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,167765,2519009,2527682,2542118,36574993004,12159184208,373044358,1112,,1,1,1,1,1,1,1,1,,343,0.2,34209,1.4,39058,1.6,31646,1.3,1351146007,3.8,335855224,2.8,41555736,12.5,26,2.4
25000,0,10,50,0,2015,1,,Massachusetts -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,235937,3323990,3309225,3340406,57970523462,24991170682,695144642,1341,,1,1,1,1,1,1,1,1,,8276,3.6,66228,2,49615,1.5,58819,1.8,2820384122,5.1,1406264998,6,-263615030,-27.5,42,3.2
26000,0,10,50,0,2015,1,,Michigan -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,236827,4046842,4059686,4079393,51153968852,21571113221,860117419,969,,1,1,1,1,1,1,1,1,,807,0.3,87742,2.2,70774,1.8,70851,1.8,1879738984,3.8,692858825,3.3,-64721617,-7,18,1.9
27000,0,10,50,0,2015,1,,Minnesota -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,163786,2695587,2699621,2708755,37870870171,22536814103,306566383,1078,,1,1,1,1,1,1,1,1,,1799,1.1,41679,1.6,44194,1.7,48188,1.8,2110048566,5.9,1072064816,5,-67459180,-18,43,4.2
28000,0,10,50,0,2015,1,,Mississippi -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,71687,1094570,1101363,1103024,10141455917,6029310847,60844691,709,,1,1,1,1,1,1,1,1,,1093,1.5,5845,0.5,11588,1.1,6853,0.6,123441503,1.2,23636269,0.4,-8076129,-11.7,3,0.4
29000,0,10,50,0,2015,1,,Missouri -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,189805,2649214,2661547,2678229,30518243420,15379437053,294321951,882,,1,1,1,1,1,1,1,1,,7517,4.1,54856,2.1,51232,2,43944,1.7,1090449860,3.7,421896640,2.8,-13521487,-4.4,16,1.8
30000,0,10,50,0,2015,1,,Montana -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,44597,433980,436216,439982,4256322651,3080255660,45618814,750,,1,1,1,1,1,1,1,1,,1242,2.9,7486,1.8,8602,2,10642,2.5,190880483,4.7,159386107,5.5,-6572963,-12.6,19,2.6
31000,0,10,50,0,2015,1,,Nebraska -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,70759,933321,936659,943393,9965515565,4542418688,55191668,817,,1,1,1,1,1,1,1,1,,555,0.8,10982,1.2,11636,1.3,13113,1.4,362060143,3.8,133711226,3,-5966392,-9.8,19,2.4
32000,0,10,50,0,2015,1,,Nevada -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,77797,1216236,1218976,1227631,13733335367,9991642175,200134086,865,,1,1,1,1,1,1,1,1,,2317,3.1,48627,4.2,46895,4,44238,3.7,491793751,3.7,426082513,4.5,17754753,9.7,-2,-0.2
33000,0,10,50,0,2015,1,,New Hampshire -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,49739,622799,621024,623258,7946076236,3918580618,36030387,982,,1,1,1,1,1,1,1,1,,635,1.3,9216,1.5,7331,1.2,8991,1.5,201774917,2.6,73124882,1.9,-35661810,-49.7,12,1.2
34000,0,10,50,0,2015,1,,New Jersey -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,262300,3790432,3793577,3826094,63714374781,36539450462,942403871,1289,,1,1,1,1,1,1,1,1,,8009,3.1,38193,1,44394,1.2,43201,1.1,1914845077,3.1,867945452,2.4,-75718307,-7.4,25,2
35000,0,10,50,0,2015,1,,New Mexico -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,56013,796249,798330,799959,8351351435,5277801702,135233627,805,,1,1,1,1,1,1,1,1,,-398,-0.7,11130,1.4,12206,1.6,12063,1.5,245437562,3,121871770,2.4,59206621,77.9,12,1.5
36000,0,10,50,0,2015,1,,New York -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,626640,8782040,8817417,8865332,167439141336,47019549678,1923338532,1460,,1,1,1,1,1,1,1,1,,11331,1.8,187618,2.2,171955,2,166411,1.9,3348898181,2,1306238246,2.9,-124094305,-6.1,0,0
37000,0,10,50,0,2015,1,,North Carolina -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,263497,4055015,4076800,4096115,49289463392,29465956962,660202322,930,,1,1,1,1,1,1,1,1,,3543,1.4,102468,2.6,125653,3.2,96620,2.4,2182763044,4.6,-4341705043,-12.8,-64405725,-8.9,17,1.9
38000,0,10,50,0,2015,1,,North Dakota -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,31912,439688,437826,436309,5598495233,3976748634,28398886,983,,1,1,1,1,1,1,1,1,,854,2.7,16205,3.8,11300,2.6,7319,1.7,368399814,7,304612414,8.3,-4170400,-12.8,39,4.1
39000,0,10,50,0,2015,1,,Ohio -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,290232,5114830,5120353,5147409,61337480520,25716081998,665564834,920,,1,1,1,1,1,1,1,1,,2183,0.8,89297,1.8,82978,1.6,74300,1.5,1732530732,2.9,620367104,2.5,-19334849,-2.8,11,1.2
40000,0,10,50,0,2015,1,,Oklahoma -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,107965,1587196,1593006,1593463,17986503346,11078950970,96092533,870,,1,1,1,1,1,1,1,1,,1821,1.7,31909,2.1,29769,1.9,20850,1.3,673031245,3.9,14657682,0.1,-55612372,-36.7,18,2.1
41000,0,10,50,0,2015,1,,Oregon -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,140575,1723978,1737349,1749363,20760058279,13514644584,332909665,919,,1,1,1,1,1,1,1,1,,9864,7.5,56682,3.4,63829,3.8,60548,3.6,1301776688,6.7,760323188,6,-11436152,-3.3,26,2.9
42000,0,10,50,0,2015,1,,Pennsylvania -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,348741,5575388,5572906,5600152,74922359536,28100870147,1711685711,1032,,1,1,1,1,1,1,1,1,,2790,0.8,59528,1.1,63996,1.2,40753,0.7,2555390546,3.5,1174846337,4.4,1919061,0.1,25,2.5
44000,0,10,50,0,2015,1,,Rhode Island -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,36103,455648,452972,456333,5953194954,3185874696,107573524,1006,,1,1,1,1,1,1,1,1,,638,1.8,8699,1.9,4971,1.1,6496,1.4,151347601,2.6,141553292,4.6,351982,0.3,10,1
45000,0,10,50,0,2015,1,,South Carolina -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,120614,1889274,1902742,1920964,19819091140,11342630246,209826174,801,,1,1,1,1,1,1,1,1,,5823,5.1,51254,2.8,59825,3.2,47779,2.6,884698525,4.7,1053472341,10.2,-32091054,-13.3,14,1.8
46000,0,10,50,0,2015,1,,South Dakota -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,32124,401832,403156,406638,4002193128,2304983693,15057556,762,,1,1,1,1,1,1,1,1,,425,1.3,4833,1.2,5264,1.3,6323,1.6,166353059,4.3,138071619,6.4,-3831997,-20.3,21,2.8
47000,0,10,50,0,2015,1,,Tennessee -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,149854,2747375,2755493,2768546,31704724445,14360838891,190148705,885,,1,1,1,1,1,1,1,1,,5545,3.8,65448,2.4,65279,2.4,52116,1.9,1067627707,3.5,426912064,3.1,-13107337,-6.4,11,1.3
48000,0,10,50,0,2015,1,,Texas -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,632002,11465734,11535953,11557837,163071244127,63645948633,1603920010,1089,,1,1,1,1,1,1,1,1,,13476,2.2,402151,3.6,383147,3.4,330527,2.9,9181270802,6,2671164320,4.4,-44577517,-2.7,27,2.5
49000,0,10,50,0,2015,1,,Utah -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,91236,1299778,1308015,1318527,14366802566,9860581149,88109120,844,,1,1,1,1,1,1,1,1,,2964,3.4,42864,3.4,44988,3.6,46993,3.7,707998165,5.2,566900544,6.1,-24828587,-22,13,1.6
50000,0,10,50,0,2015,1,,Vermont -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,24468,304625,304754,304334,3261173897,1760794557,66869348,824,,1,1,1,1,1,1,1,1,,226,0.9,4219,1.4,2824,0.9,3244,1.1,97814867,3.1,55075167,3.2,237765,0.4,16,2
51000,0,10,50,0,2015,1,,Virginia -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,242872,3637125,3638371,3653357,50663210591,17495419971,416639712,1070,,1,1,1,1,1,1,1,1,,4701,2,50001,1.4,56838,1.6,44060,1.2,1619300955,3.3,397244246,2.3,-47032497,-10.1,20,1.9
53000,0,10,50,0,2015,1,,Washington -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,239106,3017388,3031441,3060221,42851862808,28553194133,389881570,1086,,1,1,1,1,1,1,1,1,,-14088,-5.6,80575,2.7,88403,3,92190,3.1,1898943585,4.6,1527252208,5.7,-24917538,-6,18,1.7
54000,0,10,50,0,2015,1,,West Virginia -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,49999,691001,689166,692476,7115164039,3583987798,103813558,792,,1,1,1,1,1,1,1,1,,397,0.8,2675,0.4,2437,0.4,-2136,-0.3,109378601,1.6,39933491,1.1,-1436100,-1.4,11,1.4
55000,0,10,50,0,2015,1,,Wisconsin -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,165108,2714119,2719716,2734165,31034836503,16663582826,521815844,877,,1,1,1,1,1,1,1,1,,3432,2.1,39038,1.5,39955,1.5,39424,1.5,1183192711,4,514032557,3.2,-38645941,-6.9,21,2.5
56000,0,10,50,0,2015,1,,Wyoming -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,25925,277280,277539,278256,3220499339,2119012907,25343726,892,,1,1,1,1,1,1,1,1,,532,2.1,4378,1.6,3837,1.4,2706,1,96333835,3.1,61265424,3,-19428613,-43.4,15,1.7
72000,0,10,50,0,2015,1,,Puerto Rico -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,46281,896118,898776,905393,6115187429,2821420664,94060735,523,,1,1,1,1,1,1,1,1,,-985,-2.1,-12342,-1.4,-12467,-1.4,-9876,-1.1,-41448747,-0.7,-11782752,-0.4,-1927613,-2,4,0.8
78000,0,10,50,0,2015,1,,Virgin Islands -- Statewide,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,3458,37916,38194,38430,371127540,201884783,3141443,748,,1,1,1,1,1,1,1,1,,37,1.1,-49,-0.1,-189,-0.5,-18,0,1657237,0.4,-1012422,-0.5,-26591,-0.8,5,0.7
11000,0,10,50,0,2015,1,,District of Columbia,Total Covered,"Total, all industries","State, Total Covered",All establishment sizes,37089,728569,732448,734575,16744970444,3252923033,87628335,1760,,1,1,1,1,1,1,1,1,,1715,4.8,14057,2,13288,1.8,11878,1.6,774841912,4.9,110466210,3.5,2452174,2.9,51,3
